Repo,Metric,Value,
telepresence,* Number of files        [9],3.23 k,
telepresence,* Total size of files   [10],31.2 MiB,
telepresence,* Number of symlinks    [11],4,
telepresence,* Number of submodules,0,
cassandra,Name,Value,Level of concern
cassandra,----------------------------,---------,------------------------------
cassandra,Overall repository size,,
cassandra,* Commits,,
cassandra,* Count,10.4 k,
cassandra,* Total size,7.43 MiB,
cassandra,* Trees,,
cassandra,* Count,48.1 k,
cassandra,* Total size,26.1 MiB,
cassandra,* Total tree entries,696 k,
cassandra,* Blobs,,
cassandra,* Count,26.8 k,
cassandra,* Total size,398 MiB,
cassandra,* Annotated tags,,
cassandra,* Count,104,
cassandra,* References,,
cassandra,* Count,129,
cassandra,* Branches,1,
cassandra,* Tags,112,
cassandra,* Remote-tracking refs,16,
cassandra,,,
cassandra,Biggest objects,,
cassandra,* Commits,,
cassandra,* Maximum size         [1],16.3 KiB,
cassandra,* Maximum parents      [2],2,
cassandra,* Trees,,
cassandra,* Maximum entries      [3],75,
cassandra,* Blobs,,
cassandra,* Maximum size         [4],42.8 MiB,****
cassandra,,,
cassandra,History structure,,
cassandra,* Maximum history depth,5.19 k,
cassandra,* Maximum tag depth      [5],1,
cassandra,,,
cassandra,Biggest checkouts,,
cassandra,* Number of directories  [6],253,
cassandra,* Maximum path depth     [7],9,
cassandra,* Maximum path length    [8],105 B,*
cassandra,* Number of files        [9],1.21 k,
cassandra,* Total size of files   [10],50.2 MiB,
cassandra,* Number of symlinks    [11],6,
cassandra,* Number of submodules  [12],2,
nfs,Name,Value,Level of concern
nfs,----------------------------,---------,------------------------------
nfs,Overall repository size,,
nfs,* Commits,,
nfs,* Count,10.4 k,
nfs,* Total size,7.45 MiB,
nfs,* Trees,,
nfs,* Count,48.2 k,
nfs,* Total size,26.1 MiB,
nfs,* Total tree entries,696 k,
nfs,* Blobs,,
nfs,* Count,26.8 k,
nfs,* Total size,399 MiB,
nfs,* Annotated tags,,
nfs,* Count,104,
nfs,* References,,
nfs,* Count,129,
nfs,* Branches,1,
nfs,* Tags,112,
nfs,* Remote-tracking refs,16,
nfs,,,
nfs,Biggest objects,,
nfs,* Commits,,
nfs,* Maximum size         [1],16.3 KiB,
nfs,* Maximum parents      [2],2,
nfs,* Trees,,
nfs,* Maximum entries      [3],75,
nfs,* Blobs,,
nfs,* Maximum size         [4],42.8 MiB,****
nfs,,,
nfs,History structure,,
nfs,* Maximum history depth,5.19 k,
nfs,* Maximum tag depth      [5],1,
nfs,,,
nfs,Biggest checkouts,,
nfs,* Number of directories  [6],253,
nfs,* Maximum path depth     [7],9,
nfs,* Maximum path length    [8],105 B,*
nfs,* Number of files        [9],1.21 k,
nfs,* Total size of files   [10],50.2 MiB,
nfs,* Number of symlinks    [11],6,
nfs,* Number of submodules  [12],2,
etcd,Name,Value,Level of concern
etcd,----------------------------,---------,------------------------------
etcd,Overall repository size,,
etcd,* Commits,,
etcd,* Count,26.0 k,
etcd,* Total size,12.0 MiB,
etcd,* Trees,,
etcd,* Count,68.8 k,
etcd,* Total size,63.7 MiB,
etcd,* Total tree entries,1.77 M,
etcd,* Blobs,,
etcd,* Count,59.3 k,
etcd,* Total size,842 MiB,
etcd,* Annotated tags,,
etcd,* Count,516,
etcd,* References,,
etcd,* Count,547,
etcd,* Branches,1,
etcd,* Tags,524,
etcd,* Remote-tracking refs,22,
etcd,,,
etcd,Biggest objects,,
etcd,* Commits,,
etcd,* Maximum size         [1],14.2 KiB,
etcd,* Maximum parents      [2],2,
etcd,* Trees,,
etcd,* Maximum entries      [3],289,
etcd,* Blobs,,
etcd,* Maximum size         [4],4.72 MiB,
etcd,,,
etcd,History structure,,
etcd,* Maximum history depth,15.5 k,
etcd,* Maximum tag depth      [5],1,
etcd,,,
etcd,Biggest checkouts,,
etcd,* Number of directories  [6],407,
etcd,* Maximum path depth     [7],10,*
etcd,* Maximum path length    [8],139 B,*
etcd,* Number of files        [9],2.78 k,
etcd,* Total size of files    [6],30.9 MiB,
etcd,* Number of symlinks    [10],14,
etcd,* Number of submodules,0,
trickster,Name,Value,Level of concern
trickster,----------------------------,---------,------------------------------
trickster,Overall repository size,,
trickster,* Commits,,
trickster,* Count,1.03 k,
trickster,* Total size,667 KiB,
trickster,* Trees,,
trickster,* Count,7.55 k,
trickster,* Total size,3.01 MiB,
trickster,* Total tree entries,79.5 k,
trickster,* Blobs,,
trickster,* Count,15.9 k,
trickster,* Total size,187 MiB,
trickster,* Annotated tags,,
trickster,* Count,0,
trickster,* References,,
trickster,* Count,60,
trickster,* Branches,1,
trickster,* Tags,54,
trickster,* Remote-tracking refs,5,
trickster,,,
trickster,Biggest objects,,
trickster,* Commits,,
trickster,* Maximum size         [1],7.33 KiB,
trickster,* Maximum parents      [2],2,
trickster,* Trees,,
trickster,* Maximum entries      [3],315,
trickster,* Blobs,,
trickster,* Maximum size         [4],1.12 MiB,
trickster,,,
trickster,History structure,,
trickster,* Maximum history depth,800,
trickster,* Maximum tag depth,0,
trickster,,,
trickster,Biggest checkouts,,
trickster,* Number of directories  [5],579,
trickster,* Maximum path depth     [6],13,*
trickster,* Maximum path length    [6],121 B,*
trickster,* Number of files        [5],2.78 k,
trickster,* Total size of files    [5],34.0 MiB,
trickster,* Number of symlinks,0,
trickster,* Number of submodules,0,
keylime,Name,Value,Level of concern
keylime,----------------------------,---------,------------------------------
keylime,Overall repository size,,
keylime,* Commits,,
keylime,* Count,1.98 k,
keylime,* Total size,1.05 MiB,
keylime,* Trees,,
keylime,* Count,5.12 k,
keylime,* Total size,5.18 MiB,
keylime,* Total tree entries,137 k,
keylime,* Blobs,,
keylime,* Count,4.98 k,
keylime,* Total size,99.6 MiB,
keylime,* Annotated tags,,
keylime,* Count,0,
keylime,* References,,
keylime,* Count,71,
keylime,* Branches,1,
keylime,* Tags,64,
keylime,* Remote-tracking refs,6,
keylime,,,
keylime,Biggest objects,,
keylime,* Commits,,
keylime,* Maximum size         [1],7.59 KiB,
keylime,* Maximum parents      [2],2,
keylime,* Trees,,
keylime,* Maximum entries      [3],51,
keylime,* Blobs,,
keylime,* Maximum size         [4],5.41 MiB,
keylime,,,
keylime,History structure,,
keylime,* Maximum history depth,1.85 k,
keylime,* Maximum tag depth,0,
keylime,,,
keylime,Biggest checkouts,,
keylime,* Number of directories  [5],103,
keylime,* Maximum path depth     [5],5,
keylime,* Maximum path length    [5],82 B,
keylime,* Number of files        [5],557,
keylime,* Total size of files    [6],18.9 MiB,
keylime,* Number of symlinks     [7],2,
keylime,* Number of submodules,0,
worker,Name,Value,Level of concern
worker,----------------------------,---------,------------------------------
worker,Overall repository size,,
worker,* Commits,,
worker,* Count,17.6 k,
worker,* Total size,8.19 MiB,
worker,* Trees,,
worker,* Count,73.8 k,
worker,* Total size,264 MiB,
worker,* Total tree entries,5.57 M,
worker,* Blobs,,
worker,* Count,162 k,
worker,* Total size,3.15 GiB,
worker,* Annotated tags,,
worker,* Count,0,
worker,* References,,
worker,* Count,3,
worker,* Branches,1,
worker,* Remote-tracking refs,2,
worker,,,
worker,Biggest objects,,
worker,* Commits,,
worker,* Maximum size         [1],9.11 KiB,
worker,* Maximum parents      [2],2,
worker,* Trees,,
worker,* Maximum entries      [3],1.53 k,*
worker,* Blobs,,
worker,* Maximum size         [4],6.03 MiB,
worker,,,
worker,History structure,,
worker,* Maximum history depth,15.3 k,
worker,* Maximum tag depth,0,
worker,,,
worker,Biggest checkouts,,
worker,* Number of directories  [5],2.15 k,*
worker,* Maximum path depth     [6],30,***
worker,* Maximum path length    [6],240 B,**
worker,* Number of files        [5],21.7 k,
worker,* Total size of files    [5],210 MiB,
worker,* Number of symlinks     [7],114,
worker,* Number of submodules   [8],3,
ramda-adjunct,Name,Value,Level of concern
ramda-adjunct,----------------------------,---------,------------------------------
ramda-adjunct,Overall repository size,,
ramda-adjunct,* Commits,,
ramda-adjunct,* Count,5.26 k,
ramda-adjunct,* Total size,2.40 MiB,
ramda-adjunct,* Trees,,
ramda-adjunct,* Count,8.98 k,
ramda-adjunct,* Total size,25.4 MiB,
ramda-adjunct,* Total tree entries,650 k,
ramda-adjunct,* Blobs,,
ramda-adjunct,* Count,304 k,
ramda-adjunct,* Total size,9.52 GiB,*
ramda-adjunct,* Annotated tags,,
ramda-adjunct,* Count,89,
ramda-adjunct,* References,,
ramda-adjunct,* Count,104,
ramda-adjunct,* Branches,1,
ramda-adjunct,* Tags,89,
ramda-adjunct,* Remote-tracking refs,14,
ramda-adjunct,,,
ramda-adjunct,Biggest objects,,
ramda-adjunct,* Commits,,
ramda-adjunct,* Maximum size         [1],2.32 KiB,
ramda-adjunct,* Maximum parents      [2],2,
ramda-adjunct,* Trees,,
ramda-adjunct,* Maximum entries      [3],220,
ramda-adjunct,* Blobs,,
ramda-adjunct,* Maximum size         [4],1.35 MiB,
ramda-adjunct,,,
ramda-adjunct,History structure,,
ramda-adjunct,* Maximum history depth,3.20 k,
ramda-adjunct,* Maximum tag depth      [5],1,
ramda-adjunct,,,
ramda-adjunct,Biggest checkouts,,
ramda-adjunct,* Number of directories  [6],369,
ramda-adjunct,* Maximum path depth     [7],4,
ramda-adjunct,* Maximum path length    [7],49 B,
ramda-adjunct,* Number of files        [6],12.5 k,
ramda-adjunct,* Total size of files    [8],322 MiB,
ramda-adjunct,* Number of symlinks,0,
ramda-adjunct,* Number of submodules,0,
grpc-web,Name,Value,Level of concern
grpc-web,----------------------------,---------,------------------------------
grpc-web,Overall repository size,,
grpc-web,* Commits,,
grpc-web,* Count,929,
grpc-web,* Total size,411 KiB,
grpc-web,* Trees,,
grpc-web,* Count,4.19 k,
grpc-web,* Total size,1.34 MiB,
grpc-web,* Total tree entries,36.2 k,
grpc-web,* Blobs,,
grpc-web,* Count,2.12 k,
grpc-web,* Total size,12.7 MiB,
grpc-web,* Annotated tags,,
grpc-web,* Count,0,
grpc-web,* References,,
grpc-web,* Count,25,
grpc-web,* Branches,1,
grpc-web,* Tags,22,
grpc-web,* Remote-tracking refs,2,
grpc-web,,,
grpc-web,Biggest objects,,
grpc-web,* Commits,,
grpc-web,* Maximum size         [1],3.06 KiB,
grpc-web,* Maximum parents      [2],2,
grpc-web,* Trees,,
grpc-web,* Maximum entries      [3],38,
grpc-web,* Blobs,,
grpc-web,* Maximum size         [4],430 KiB,
grpc-web,,,
grpc-web,History structure,,
grpc-web,* Maximum history depth,888,
grpc-web,* Maximum tag depth,0,
grpc-web,,,
grpc-web,Biggest checkouts,,
grpc-web,* Number of directories  [5],99,
grpc-web,* Maximum path depth     [6],13,*
grpc-web,* Maximum path length    [6],127 B,*
grpc-web,* Number of files        [7],275,
grpc-web,* Total size of files    [8],1.08 MiB,
grpc-web,* Number of symlinks,0,
grpc-web,* Number of submodules   [9],5,
nodejs-mobile,Name,Value,Level of concern
nodejs-mobile,----------------------------,---------,------------------------------
nodejs-mobile,Overall repository size,,
nodejs-mobile,* Commits,,
nodejs-mobile,* Count,37.3 k,
nodejs-mobile,* Total size,29.0 MiB,
nodejs-mobile,* Trees,,
nodejs-mobile,* Count,165 k,
nodejs-mobile,* Total size,1.00 GiB,
nodejs-mobile,* Total tree entries,20.3 M,
nodejs-mobile,* Blobs,,
nodejs-mobile,* Count,302 k,
nodejs-mobile,* Total size,6.89 GiB,
nodejs-mobile,* Annotated tags,,
nodejs-mobile,* Count,17,
nodejs-mobile,* References,,
nodejs-mobile,* Count,25,
nodejs-mobile,* Branches,1,
nodejs-mobile,* Tags,17,
nodejs-mobile,* Remote-tracking refs,7,
nodejs-mobile,,,
nodejs-mobile,Biggest objects,,
nodejs-mobile,* Commits,,
nodejs-mobile,* Maximum size         [1],12.6 KiB,
nodejs-mobile,* Maximum parents      [2],2,
nodejs-mobile,* Trees,,
nodejs-mobile,* Maximum entries      [3],2.48 k,**
nodejs-mobile,* Blobs,,
nodejs-mobile,* Maximum size         [4],7.91 MiB,
nodejs-mobile,,,
nodejs-mobile,History structure,,
nodejs-mobile,* Maximum history depth,28.5 k,
nodejs-mobile,* Maximum tag depth      [5],1,
nodejs-mobile,,,
nodejs-mobile,Biggest checkouts,,
nodejs-mobile,* Number of directories  [6],3.54 k,*
nodejs-mobile,* Maximum path depth     [7],30,***
nodejs-mobile,* Maximum path length    [7],240 B,**
nodejs-mobile,* Number of files        [8],37.9 k,
nodejs-mobile,* Total size of files    [9],410 MiB,
nodejs-mobile,* Number of symlinks    [10],114,
nodejs-mobile,* Number of submodules  [11],3,
ayo,Name,Value,Level of concern
ayo,----------------------------,---------,------------------------------
ayo,Overall repository size,,
ayo,* Commits,,
ayo,* Count,19.6 k,
ayo,* Total size,10.5 MiB,
ayo,* Trees,,
ayo,* Count,83.7 k,
ayo,* Total size,346 MiB,
ayo,* Total tree entries,7.17 M,
ayo,* Blobs,,
ayo,* Count,178 k,
ayo,* Total size,3.48 GiB,
ayo,* Annotated tags,,
ayo,* Count,0,
ayo,* References,,
ayo,* Count,3,
ayo,* Branches,1,
ayo,* Remote-tracking refs,2,
ayo,,,
ayo,Biggest objects,,
ayo,* Commits,,
ayo,* Maximum size         [1],9.11 KiB,
ayo,* Maximum parents      [2],2,
ayo,* Trees,,
ayo,* Maximum entries      [3],1.71 k,*
ayo,* Blobs,,
ayo,* Maximum size         [4],6.03 MiB,
ayo,,,
ayo,History structure,,
ayo,* Maximum history depth,17.4 k,
ayo,* Maximum tag depth,0,
ayo,,,
ayo,Biggest checkouts,,
ayo,* Number of directories  [5],2.35 k,*
ayo,* Maximum path depth     [6],30,***
ayo,* Maximum path length    [6],240 B,**
ayo,* Number of files        [5],23.8 k,
ayo,* Total size of files    [7],218 MiB,
ayo,* Number of symlinks     [8],114,
ayo,* Number of submodules   [9],3,
wasi,Name,Value,Level of concern
wasi,----------------------------,---------,------------------------------
wasi,Overall repository size,,
wasi,* Commits,,
wasi,* Count,28.5 k,
wasi,* Total size,19.0 MiB,
wasi,* Trees,,
wasi,* Count,127 k,
wasi,* Total size,721 MiB,
wasi,* Total tree entries,14.4 M,
wasi,* Blobs,,
wasi,* Count,259 k,
wasi,* Total size,5.44 GiB,
wasi,* Annotated tags,,
wasi,* Count,0,
wasi,* References,,
wasi,* Count,3,
wasi,* Branches,1,
wasi,* Remote-tracking refs,2,
wasi,,,
wasi,Biggest objects,,
wasi,* Commits,,
wasi,* Maximum size         [1],11.3 KiB,
wasi,* Maximum parents      [2],2,
wasi,* Trees,,
wasi,* Maximum entries      [3],2.34 k,**
wasi,* Blobs,,
wasi,* Maximum size         [4],9.33 MiB,
wasi,,,
wasi,History structure,,
wasi,* Maximum history depth,26.3 k,
wasi,* Maximum tag depth,0,
wasi,,,
wasi,Biggest checkouts,,
wasi,* Number of directories  [5],3.44 k,*
wasi,* Maximum path depth     [6],30,***
wasi,* Maximum path length    [6],240 B,**
wasi,* Number of files        [7],33.6 k,
wasi,* Total size of files    [8],346 MiB,
wasi,* Number of symlinks     [9],114,
wasi,* Number of submodules  [10],3,
ffi,Name,Value,Level of concern
ffi,----------------------------,---------,------------------------------
ffi,Overall repository size,,
ffi,* Commits,,
ffi,* Count,27.9 k,
ffi,* Total size,18.5 MiB,
ffi,* Trees,,
ffi,* Count,124 k,
ffi,* Total size,698 MiB,
ffi,* Total tree entries,14.0 M,
ffi,* Blobs,,
ffi,* Count,254 k,
ffi,* Total size,5.25 GiB,
ffi,* Annotated tags,,
ffi,* Count,0,
ffi,* References,,
ffi,* Count,3,
ffi,* Branches,1,
ffi,* Remote-tracking refs,2,
ffi,,,
ffi,Biggest objects,,
ffi,* Commits,,
ffi,* Maximum size         [1],11.3 KiB,
ffi,* Maximum parents      [2],2,
ffi,* Trees,,
ffi,* Maximum entries      [3],2.28 k,**
ffi,* Blobs,,
ffi,* Maximum size         [4],6.03 MiB,
ffi,,,
ffi,History structure,,
ffi,* Maximum history depth,25.7 k,
ffi,* Maximum tag depth,0,
ffi,,,
ffi,Biggest checkouts,,
ffi,* Number of directories  [5],3.44 k,*
ffi,* Maximum path depth     [6],30,***
ffi,* Maximum path length    [6],240 B,**
ffi,* Number of files        [7],33.6 k,
ffi,* Total size of files    [8],337 MiB,
ffi,* Number of symlinks     [9],114,
ffi,* Number of submodules  [10],3,
chakra-ui,Name,Value,Level of concern
chakra-ui,----------------------------,---------,------------------------------
chakra-ui,Overall repository size,,
chakra-ui,* Commits,,
chakra-ui,* Count,10.8 k,
